CellID,UMAP1,UMAP2
26_human_embryo_E-MTAB-3929:ERR1041530_Aligned.sortedByCoord.out.bam,-1.5242561,13.712466
26_human_embryo_E-MTAB-3929:ERR1041531_Aligned.sortedByCoord.out.bam,-1.2823925,13.9741535
26_human_embryo_E-MTAB-3929:ERR1041532_Aligned.sortedByCoord.out.bam,-0.9647304,14.044968
26_human_embryo_E-MTAB-3929:ERR1041533_Aligned.sortedByCoord.out.bam,-1.3017861,13.89884
26_human_embryo_E-MTAB-3929:ERR1041534_Aligned.sortedByCoord.out.bam,-1.6007029,13.867686
26_human_embryo_E-MTAB-3929:ERR1041535_Aligned.sortedByCoord.out.bam,-1.364234,13.98609
26_human_embryo_E-MTAB-3929:ERR1041536_Aligned.sortedByCoord.out.bam,-1.5063487,13.410681
26_human_embryo_E-MTAB-3929:ERR1041537_Aligned.sortedByCoord.out.bam,-1.2663965,14.04128
26_human_embryo_E-MTAB-3929:ERR1041538_Aligned.sortedByCoord.out.bam,-1.3798829,13.183162
26_human_embryo_E-MTAB-3929:ERR1041539_Aligned.sortedByCoord.out.bam,-1.5987861,13.515563
26_human_embryo_E-MTAB-3929:ERR1041540_Aligned.sortedByCoord.out.bam,-1.1807816,13.69286
26_human_embryo_E-MTAB-3929:ERR1041541_Aligned.sortedByCoord.out.bam,-1.5786407,13.164804
26_human_embryo_E-MTAB-3929:ERR1041542_Aligned.sortedByCoord.out.bam,-1.4227725,13.436975
26_human_embryo_E-MTAB-3929:ERR1041543_Aligned.sortedByCoord.out.bam,-1.8361739,13.281042
26_human_embryo_E-MTAB-3929:ERR1041544_Aligned.sortedByCoord.out.bam,-1.5255665,13.833913
26_human_embryo_E-MTAB-3929:ERR1041545_Aligned.sortedByCoord.out.bam,-1.596967,13.4866085
26_human_embryo_E-MTAB-3929:ERR1041546_Aligned.sortedByCoord.out.bam,-1.3407058,14.039639
26_human_embryo_E-MTAB-3929:ERR1041547_Aligned.sortedByCoord.out.bam,-1.6873186,11.939062
26_human_embryo_E-MTAB-3929:ERR1041548_Aligned.sortedByCoord.out.bam,-1.5763962,12.778294
26_human_embryo_E-MTAB-3929:ERR1041549_Aligned.sortedByCoord.out.bam,-1.7155374,13.164542
26_human_embryo_E-MTAB-3929:ERR1041550_Aligned.sortedByCoord.out.bam,-1.6858675,12.672885
26_human_embryo_E-MTAB-3929:ERR1041551_Aligned.sortedByCoord.out.bam,-1.7691325,13.315486
26_human_embryo_E-MTAB-3929:ERR1041552_Aligned.sortedByCoord.out.bam,-1.6261001,13.281947
26_human_embryo_E-MTAB-3929:ERR1041553_Aligned.sortedByCoord.out.bam,-1.7304572,12.596746
26_human_embryo_E-MTAB-3929:ERR1041554_Aligned.sortedByCoord.out.bam,-1.8535986,12.621939
26_human_embryo_E-MTAB-3929:ERR1041555_Aligned.sortedByCoord.out.bam,-1.6814468,12.452713
26_human_embryo_E-MTAB-3929:ERR1041556_Aligned.sortedByCoord.out.bam,-1.8584415,12.699873
26_human_embryo_E-MTAB-3929:ERR1041557_Aligned.sortedByCoord.out.bam,-1.4793226,12.852504
26_human_embryo_E-MTAB-3929:ERR1041558_Aligned.sortedByCoord.out.bam,-0.2656227,12.653718
26_human_embryo_E-MTAB-3929:ERR1041559_Aligned.sortedByCoord.out.bam,-1.972279,12.933301
26_human_embryo_E-MTAB-3929:ERR1041560_Aligned.sortedByCoord.out.bam,-1.8098522,12.901023
26_human_embryo_E-MTAB-3929:ERR1041561_Aligned.sortedByCoord.out.bam,-1.291056,13.056478
26_human_embryo_E-MTAB-3929:ERR1041562_Aligned.sortedByCoord.out.bam,-1.9361589,13.053732
26_human_embryo_E-MTAB-3929:ERR1041563_Aligned.sortedByCoord.out.bam,-1.9741396,12.727007
26_human_embryo_E-MTAB-3929:ERR1041564_Aligned.sortedByCoord.out.bam,-1.8586137,11.51066
26_human_embryo_E-MTAB-3929:ERR1041565_Aligned.sortedByCoord.out.bam,-0.21170841,12.909097
26_human_embryo_E-MTAB-3929:ERR1041566_Aligned.sortedByCoord.out.bam,1.5302154,14.714824
26_human_embryo_E-MTAB-3929:ERR1041567_Aligned.sortedByCoord.out.bam,1.6460478,14.6006975
26_human_embryo_E-MTAB-3929:ERR1041568_Aligned.sortedByCoord.out.bam,1.7416421,14.637652
26_human_embryo_E-MTAB-3929:ERR1041569_Aligned.sortedByCoord.out.bam,1.6472143,14.461606
26_human_embryo_E-MTAB-3929:ERR1041570_Aligned.sortedByCoord.out.bam,1.4833243,14.765511
26_human_embryo_E-MTAB-3929:ERR1041571_Aligned.sortedByCoord.out.bam,1.8391047,14.717054
26_human_embryo_E-MTAB-3929:ERR1041572_Aligned.sortedByCoord.out.bam,1.1106755,14.2075205
26_human_embryo_E-MTAB-3929:ERR1041573_Aligned.sortedByCoord.out.bam,1.0308746,14.4865265
26_human_embryo_E-MTAB-3929:ERR1041574_Aligned.sortedByCoord.out.bam,1.7863922,14.725412
26_human_embryo_E-MTAB-3929:ERR1041575_Aligned.sortedByCoord.out.bam,1.5784955,14.43432
26_human_embryo_E-MTAB-3929:ERR1041576_Aligned.sortedByCoord.out.bam,1.5127268,14.585878
26_human_embryo_E-MTAB-3929:ERR1041577_Aligned.sortedByCoord.out.bam,3.0626695,14.985791
26_human_embryo_E-MTAB-3929:ERR1041578_Aligned.sortedByCoord.out.bam,2.635073,14.911283
