CellID,UMAP1,UMAP2
52_mouse_sympatho_GSE99933:SRR5674748_Aligned.sortedByCoord.out.bam,10.698714,2.4057047
52_mouse_sympatho_GSE99933:SRR5674749_Aligned.sortedByCoord.out.bam,9.558246,0.6874501
52_mouse_sympatho_GSE99933:SRR5674751_Aligned.sortedByCoord.out.bam,11.832942,7.7168946
52_mouse_sympatho_GSE99933:SRR5674753_Aligned.sortedByCoord.out.bam,8.904534,6.6896095
52_mouse_sympatho_GSE99933:SRR5674754_Aligned.sortedByCoord.out.bam,10.244591,9.025615
52_mouse_sympatho_GSE99933:SRR5674755_Aligned.sortedByCoord.out.bam,10.592358,2.6170146
52_mouse_sympatho_GSE99933:SRR5674756_Aligned.sortedByCoord.out.bam,9.772598,3.6989267
52_mouse_sympatho_GSE99933:SRR5674757_Aligned.sortedByCoord.out.bam,9.608444,7.8889737
52_mouse_sympatho_GSE99933:SRR5674758_Aligned.sortedByCoord.out.bam,7.3367085,2.2412727
52_mouse_sympatho_GSE99933:SRR5674759_Aligned.sortedByCoord.out.bam,9.901406,7.070853
52_mouse_sympatho_GSE99933:SRR5674760_Aligned.sortedByCoord.out.bam,-4.872025,0.53938925
52_mouse_sympatho_GSE99933:SRR5674761_Aligned.sortedByCoord.out.bam,-5.173998,-0.17660241
52_mouse_sympatho_GSE99933:SRR5674762_Aligned.sortedByCoord.out.bam,8.156187,1.8418294
52_mouse_sympatho_GSE99933:SRR5674763_Aligned.sortedByCoord.out.bam,9.858852,7.126432
52_mouse_sympatho_GSE99933:SRR5674764_Aligned.sortedByCoord.out.bam,7.705313,3.429165
52_mouse_sympatho_GSE99933:SRR5674765_Aligned.sortedByCoord.out.bam,12.68397,0.40124086
52_mouse_sympatho_GSE99933:SRR5674766_Aligned.sortedByCoord.out.bam,13.988484,9.652357
52_mouse_sympatho_GSE99933:SRR5674767_Aligned.sortedByCoord.out.bam,8.661219,6.8181825
52_mouse_sympatho_GSE99933:SRR5674768_Aligned.sortedByCoord.out.bam,12.113157,1.2507018
52_mouse_sympatho_GSE99933:SRR5674769_Aligned.sortedByCoord.out.bam,10.235789,9.350677
52_mouse_sympatho_GSE99933:SRR5674770_Aligned.sortedByCoord.out.bam,10.5886965,0.200121
52_mouse_sympatho_GSE99933:SRR5674772_Aligned.sortedByCoord.out.bam,13.589087,0.26022202
52_mouse_sympatho_GSE99933:SRR5674773_Aligned.sortedByCoord.out.bam,11.479196,1.1232406
52_mouse_sympatho_GSE99933:SRR5674775_Aligned.sortedByCoord.out.bam,9.495981,6.3073235
52_mouse_sympatho_GSE99933:SRR5674776_Aligned.sortedByCoord.out.bam,7.481458,3.0565836
52_mouse_sympatho_GSE99933:SRR5674777_Aligned.sortedByCoord.out.bam,-5.7050843,0.022950059
52_mouse_sympatho_GSE99933:SRR5674778_Aligned.sortedByCoord.out.bam,11.523194,8.635411
52_mouse_sympatho_GSE99933:SRR5674779_Aligned.sortedByCoord.out.bam,9.152767,3.4318733
52_mouse_sympatho_GSE99933:SRR5674780_Aligned.sortedByCoord.out.bam,7.844136,6.2741456
52_mouse_sympatho_GSE99933:SRR5674781_Aligned.sortedByCoord.out.bam,8.911219,4.536284
52_mouse_sympatho_GSE99933:SRR5674782_Aligned.sortedByCoord.out.bam,11.865184,8.362432
52_mouse_sympatho_GSE99933:SRR5674783_Aligned.sortedByCoord.out.bam,10.093835,2.4895627
52_mouse_sympatho_GSE99933:SRR5674784_Aligned.sortedByCoord.out.bam,7.7138076,6.008839
52_mouse_sympatho_GSE99933:SRR5674786_Aligned.sortedByCoord.out.bam,9.396362,3.8619673
52_mouse_sympatho_GSE99933:SRR5674787_Aligned.sortedByCoord.out.bam,9.855816,0.6059429
52_mouse_sympatho_GSE99933:SRR5674788_Aligned.sortedByCoord.out.bam,10.603623,8.397648
52_mouse_sympatho_GSE99933:SRR5674789_Aligned.sortedByCoord.out.bam,-5.2403526,0.10946573
52_mouse_sympatho_GSE99933:SRR5674791_Aligned.sortedByCoord.out.bam,9.334892,5.9404616
52_mouse_sympatho_GSE99933:SRR5674792_Aligned.sortedByCoord.out.bam,-4.128289,0.6771759
52_mouse_sympatho_GSE99933:SRR5674793_Aligned.sortedByCoord.out.bam,-2.6172738,3.3971386
52_mouse_sympatho_GSE99933:SRR5674794_Aligned.sortedByCoord.out.bam,11.437715,8.328314
52_mouse_sympatho_GSE99933:SRR5674795_Aligned.sortedByCoord.out.bam,8.271956,1.4939127
52_mouse_sympatho_GSE99933:SRR5674796_Aligned.sortedByCoord.out.bam,13.845265,0.15403654
52_mouse_sympatho_GSE99933:SRR5674799_Aligned.sortedByCoord.out.bam,7.800596,5.85723
52_mouse_sympatho_GSE99933:SRR5674800_Aligned.sortedByCoord.out.bam,7.628634,1.029018
52_mouse_sympatho_GSE99933:SRR5674801_Aligned.sortedByCoord.out.bam,13.180424,11.226384
52_mouse_sympatho_GSE99933:SRR5674802_Aligned.sortedByCoord.out.bam,-4.361733,0.09928149
52_mouse_sympatho_GSE99933:SRR5674803_Aligned.sortedByCoord.out.bam,9.185138,3.6697628
52_mouse_sympatho_GSE99933:SRR5674804_Aligned.sortedByCoord.out.bam,12.433449,1.4297631
52_mouse_sympatho_GSE99933:SRR5674806_Aligned.sortedByCoord.out.bam,9.28121,6.733623
52_mouse_sympatho_GSE99933:SRR5674807_Aligned.sortedByCoord.out.bam,7.5234795,1.1107446
52_mouse_sympatho_GSE99933:SRR5674808_Aligned.sortedByCoord.out.bam,9.058064,7.080297
52_mouse_sympatho_GSE99933:SRR5674809_Aligned.sortedByCoord.out.bam,11.1904545,1.7434434
52_mouse_sympatho_GSE99933:SRR5674810_Aligned.sortedByCoord.out.bam,10.979396,1.9626633
52_mouse_sympatho_GSE99933:SRR5674811_Aligned.sortedByCoord.out.bam,10.310049,8.182489
52_mouse_sympatho_GSE99933:SRR5674812_Aligned.sortedByCoord.out.bam,11.364241,-0.055769637
52_mouse_sympatho_GSE99933:SRR5674813_Aligned.sortedByCoord.out.bam,7.360661,5.127466
52_mouse_sympatho_GSE99933:SRR5674814_Aligned.sortedByCoord.out.bam,13.171885,0.7558775
52_mouse_sympatho_GSE99933:SRR5674815_Aligned.sortedByCoord.out.bam,-3.4950738,1.4245422
52_mouse_sympatho_GSE99933:SRR5674816_Aligned.sortedByCoord.out.bam,-4.8769135,-0.5736598
52_mouse_sympatho_GSE99933:SRR5674817_Aligned.sortedByCoord.out.bam,8.384823,6.4991884
