CellID,UMAP1,UMAP2
SRR3290185,1.89614,1.672565
SRR3290185,1.8922101,1.3238436
SRR3290185,2.7127845,1.2443247
SRR3290185,2.9666452,0.43386883
SRR3290185,2.510459,0.46762928
SRR3290185,3.4615479,1.6890396
SRR3290185,2.4504423,1.2624176
SRR3290185,2.295652,1.1153902
SRR3290185,2.9029226,0.3713254
SRR3290185,0.5714874,1.2179062
SRR3290185,3.4904566,0.87373906
SRR3290185,2.7716138,1.5882031
SRR3290185,1.2357415,1.2013301
SRR3290185,2.5810282,0.22274256
SRR3290185,2.4105275,1.7393267
SRR3290185,3.3227198,1.3052078
SRR3290185,2.5272496,1.7698073
SRR3290185,2.9973266,0.7953956
SRR3290185,1.0949587,1.393169
SRR3290185,3.3835711,0.87427235
SRR3290185,2.765046,0.1189775
SRR3290185,2.963842,1.2964759
SRR3290185,3.2157285,1.1348702
SRR3290185,3.2073462,0.32713047
SRR3290185,2.4839766,1.0516826
SRR3290185,2.9012864,2.2759793
SRR3290185,3.639109,1.0472313
SRR3290185,0.56165856,1.4762372
SRR3290185,3.1848335,0.8722696
SRR3290185,2.4164984,1.6685807
SRR3290185,2.8580506,1.9215348
SRR3290185,2.2938395,1.2327821
SRR3290185,2.512258,1.1756386
SRR3290185,3.4471347,0.75432575
SRR3290185,3.524727,0.45724195
SRR3290185,0.9943349,1.1735706
SRR3290185,2.630641,0.5672823
SRR3290185,2.5340343,0.20686722
SRR3290185,2.9749324,0.84042895
SRR3290185,3.3176146,1.772086
SRR3290185,3.30773,1.4883575
SRR3290185,2.5115197,0.40532577
SRR3290185,1.726669,1.3947495
SRR3290185,2.210076,0.7762751
SRR3290185,3.4959052,1.0313915
SRR3290185,1.6970272,1.0886806
SRR3290185,2.6699674,0.6091057
SRR3290185,2.4875734,0.89538413
SRR3290185,1.2203468,1.0709302
SRR3290185,2.5032725,0.92312324
SRR3290185,2.448282,1.6112382
SRR3290185,2.5283384,1.8283427
SRR3290185,2.4507494,1.9768577
SRR3290185,2.891481,1.6977092
SRR3290185,3.3608115,0.50005126
SRR3290185,1.083714,1.609539
SRR3290185,3.7065222,2.2870543
SRR3290185,1.1005125,1.3640962
SRR3290185,1.3398752,1.1227473
SRR3290185,2.9606326,1.8996576
SRR3290185,3.6175828,0.95109963
SRR3290185,2.2077987,1.4050488
SRR3290185,3.3013194,1.5871964
SRR3290185,0.78221387,1.4796371
SRR3290185,3.0421104,1.9333985
SRR3290185,2.489918,0.35732284
SRR3290185,1.9619077,1.5471424
SRR3290185,3.0555801,1.2633934
SRR3290185,2.1151423,1.3213505
SRR3290185,3.8497045,1.4136385
