Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
UniTVelo,0.985795745,0.977283247,0.961415041,0.963910201,0.887136697,0.936174625,0.989211688,0.980103817,0.974205735,0.891116067,0.996141833,0.85671096,0.992904267,0.832541242,0.793503252,0,0.729149742,0.724476073,0.97070838,0.971453297,0.971659654,0.958130578,0.935436722,0.857263899,0.92646596,0.941850427,0.789703472,0.932677653,0.918789132,0.898047694,0.887941414,0,0.990905348,0.636589777,0.977169575,0,0.996079156,0.964239022,0.690537623,0,0.994199142,0.870732157,0.704376179,0.73605372,0.892787035,0.95485206,0.869609162,0.703679972,0.918776962,0.971485562,0.977846694,0.971867268,0.996090307,0.812523926,0.930521517
VeloAE,0.999968191,0.867372113,0.976826643,0.999845605,0.997131995,0.995979198,0.999774925,0.975691791,0.999945856,0.999806532,0.999844966,0.998958218,0.99982103,0.999478329,0.999673463,0,0.999996587,0.99115449,0.997202964,0.999978564,0.999536119,0.999998298,0.996005587,0.998823487,0,0.999855009,0.998288878,0.999941735,0.999842072,0.999968242,0.999097058,0,0.98467056,0.998192311,0.999859607,0.998737898,0.99999839,0.999749012,0.996195891,0.993618629,0.999976943,0.999847861,0,0.999936777,0.999692016,0,0.999575759,0.989949647,0.9926371,0.993357051,0.987649635,0.998845633,0,0.999912613,0
VeloVAE,0.868687126,0.896997882,0.666193828,0.783925893,0.784426935,0.853807257,0.870277854,0.910928409,0.835389776,0.951066991,0.740868134,0.674038864,0.85155609,0.796874757,0.902129357,0.888416462,0.855470443,0.778599155,0.823002773,0.838331903,0.75413573,0.673929216,0.853008874,0.445953024,0.653772589,0.565366716,0.906141352,0.944608401,0.916061562,0.643968554,0.894714123,0,0.903662937,0.814347212,0.765211308,0.943491668,0.772549519,0.948562247,0.798194831,0.852469598,0.766757804,0.909559627,0.657276918,0.890462797,0.701109718,0.901561467,0.784311815,0.863324028,0.872811816,0.836754589,0.909111218,0.859143495,0.83389585,0.970504244,0.568392462
cell2fate,0,0.911517138,0.712735963,0,0.767450844,0.875882034,0.871186118,0.947498887,0,0,0,0,0,0.810774823,0.896674282,0,0.91691798,0.801459576,0.808491047,0.850410078,0.773187891,0.833379671,0.935124711,0.815016811,0,0,0.882592051,0.936048511,0.930487936,0,0,0,0.865157959,0,0,0,0,0.949563976,0.772982648,0,0.76484248,0,0.622943669,0.940715481,0,0,0.948906315,0.837687949,0.874486519,0.94930328,0,0,0.334414961,0.907449504,0
cellDancer,0.886429975,0.906134364,0.715809619,0.793276182,0.729480034,0.874111762,0.898710341,0.94613496,0.882888513,0.959894801,0.854229181,0.908389325,0.855549688,0.797331901,0.899393601,0.882454166,0.915825518,0.777205486,0.804356308,0,0.780773722,0.424444378,0.452673226,0.088644965,0.28628786,0.268554515,0.772372367,0.920833274,0.93035546,0.702105558,0.909300516,0,0.85768176,0.811151828,0.759838615,0.952442409,0.184165258,0.661929338,0.828373394,0.194208153,0.805205987,0.332746515,0.782542564,0.20512184,0.143555734,0.918386224,0.899890227,0.805389345,0.893369692,0.370224483,0.397327914,0.559672152,0.177794793,0.261447113,0.229020469
k-velo,0.613655959,0.602843999,0.634506347,0.227643753,0.829396304,0.747572027,0.480653952,0.626204591,0,0,0,0.86749606,8.21E-06,0.484221592,0.486142868,0,0.523156639,0.764767466,0.508029332,0.655134156,0.461724439,0.266507769,0,0.410961863,0.508815697,0.691883394,0.735505619,0.883594172,0.59971812,0.342451426,0.497109773,0,0.74080537,0.749112938,0.770539983,0.946331465,0.092671341,0.89411401,0.787341951,0,0.511059282,0,0.542090153,0.137526369,0,0,0.530225888,0.51105346,0.657103211,0.556518976,0.729730668,0.793763861,0,0.859933146,0
scRNAkinetics,0.874505505,0.909794314,0.711988473,0,0.818289744,0.857232247,0.872097423,0.9497033,0.877883031,0.958292753,0.779426639,0.9279105,0.861789636,0.797232236,0.905830936,0.879360532,0.798254148,0.794072871,0.829910405,0.840814586,0.783192924,0.833773807,0.905634023,0.835286208,0.921412709,0,0.871886572,0.903529674,0.919602495,0.641286009,0.906068395,0,0.88063767,0,0.757164298,0,0.81514357,0.949193956,0.772945194,0.90065321,0.742842234,0.932593548,0,0.93629201,0.695333792,0.898150095,0.943929463,0.828657133,0.87549896,0.955390134,0,0.866734318,0,0.875405612,0
scVelo dynamical,0.594006632,0.882797414,0.846108792,0.698612415,0.594039643,0.930748371,0.810549493,0.922884096,0.705051316,0.783057672,0.867219803,0.842603708,0.916511741,0.655286876,0.194016098,0,0.86863012,0.889822298,0.830389466,0.88504302,0.782301633,0.814722599,0.755697168,0.807352818,0.806583158,0.177807337,0.85777456,0.826477891,0.874012462,0.229218191,0.692395243,0,0.931483212,0.086642955,0.764747712,0.750809463,0.747599479,0.862856408,0.763869792,0.84879817,0.855555457,0.769296915,0.324124527,0.803745654,0.873405596,0,0.607478841,0.768025674,0.204185977,0.70059653,0.637280217,0.696784385,0.626458171,0.157772831,0.136221406
scVelo stochastic,0.866892251,0.892821788,0.694616506,0.78793547,0.772242616,0.855050989,0.869005016,0.949404008,0.879027926,0.959102489,0.743843286,0.842077047,0.914790556,0.802266067,0.908056726,0,0.857708498,0.761357803,0.816582127,0.832980055,0.752777522,0.832896939,0.846474134,0.837944252,0.91303067,0.872693984,0.712212733,0.903725778,0.909766671,0.634286247,0.901509481,0.756129367,0.870249584,0.817985164,0.760880781,0.954904457,0.773701382,0.971365041,0.811064212,0.8444759,0.668243403,0.923240612,0.677258255,0.935799097,0.69641581,0.903472123,0.94630857,0.786185144,0.894026422,0.933293994,0.88144295,0.875569093,0.791058483,0.83611725,0.928614157
veloVI,0.913153142,0.769353222,0.810506009,0.883587231,0.743981251,0.848717927,0.885470013,0.890013918,0.858407276,0.851321181,0.886018474,0.827371276,0.933851755,0.803191933,0.849029073,0,0.893425951,0.833610418,0.795019381,0.822362497,0.888198887,0.841043587,0.855442929,0.720588169,0.821691172,0.879368998,0.646574179,0.843698791,0.839182179,0.808342834,0.868133034,0.8222588,0.914799578,0.792182566,0.877726133,0.892580728,0.84886052,0.818673461,0.782467021,0.861939705,0.883574606,0.789999206,0.652511641,0.771310372,0.783957686,0.865839721,0.73180354,0.676130412,0.918122676,0.765549766,0.895042945,0.897452337,0.738582995,0.848093915,0.860731007
velocyto,0.851001333,0.893304378,0.682563674,0.824899117,0.779773419,0.874020314,0.860781535,0.94204653,0.801020188,0.937364753,0.891063146,0.686532174,0.894481547,0.703355804,0.868937569,0,0.740101372,0.778610759,0.88472891,0.84777801,0.743133192,0.69475008,0.936105164,0.889327364,0.778858027,0.90440631,0,0.8193728,0.939157432,0.655490097,0.843296946,0,0.971824897,0.791404615,0.702905153,0.954971845,0.810621179,0,0.790462564,0.892881467,0,0.910368092,0.864124632,0.911956243,0.408809809,0.925785831,0.715643152,0,0,0.384955855,0.980394251,0.979843521,0.979984521,0.999463659,0.936885581
