Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
scVelo dynamical,0.959885689505832,0.871274638319183,0.926238467280449,0.809214101651229,0.678898333473835,0.927904990121973,0.905347931409223,0.987033296484513,0.769386277076222,0.885451645430573,0.949892743597867,0.904912280603938,0.937749907809495,0.755885374687805,0.874758921303044,0.87189796961074,0.992160154090472,0.960855793870847,0.944779178260271,0.95964309034375,0.90294870361686,0.130800608385012,0.899528102693483,0.00279704190181303,0.156008401910689,0.198841898690257,0.965142872681833,0.888812768961587,0.888842334181672,0.866284,0.915269042685561,0,0.981753092064323,0.935440499232534,0.904930633084048,0.859283644367943,0.837063702090173,0.802089396245575,0.868173207859446,0.943753432990472,0.910792173366823,0.906545229928025,0.913393099942839,0.871308684171905,0.894115084040964,0.965106437939711,0.771602823620985,0.79939819772235,0.938963054859689,0.733737221699062,0.731733775738713,0.995840726548343,0.894170732581292,0.299404621610815,0.00625256375037934
scVelo stochastic,0.954982009326837,0.93029735014844,0.791005840792414,0.947168373228088,0.811996069306209,0.844409863693652,0.882626354179855,0.951635828029276,0.922683404335253,0.992119057496772,0.947083536788635,0.698347905496154,0.917973842490338,0.782367337800786,0.969626129485339,0.570972774877634,0.981732068752558,0.726650463766026,0.86944353845141,0.915278834033843,0.776982232948802,0.929527077840985,0.906656111251224,0.705427810470707,0.93281473756137,0.957177909405574,0.689374521592131,0.674356408430208,0.958787101980292,0.934422,0.829753014092941,0,0.878775851825146,0.876574097866989,0.819514468712922,0.832943602451455,0.90660491852961,0.978531022486149,0.78238799253136,0.945851534131935,0.927102392229494,0.997336917484061,0.922256443075458,0.573947651056133,0.00255422361936938,0.967225634829379,0.60092189930279,0.96318847432582,0.809094704537146,0.916387931836993,0.937615494956494,0.923834188213973,0.622802027600718,0.900125014276845,0.977669583469414
SDEvelo,0.979534131376715,0.989905511669983,0.939594278111763,0.981181859811061,0.939566509223697,0.958219268244517,0.983142652064974,0.999992862019545,0.987043633109394,0.998537624871936,0.892365091726291,0.923579413701056,0.990083020024482,0.735004830824258,0.897129257995057,0.698241724124053,0.999996789285658,0.917085781899915,0.961804799432588,0.999999479174039,0.984241429412395,0.892211501231674,0.997381670583669,0.787615137765863,0.963124714364158,0.909176516849094,0,0.999995611652764,0.999869070512565,0.971045,0.99955803889481,0,0.999999798034193,0.645896195311562,0.945637645077673,0.997491783415899,0.981005673162313,0.962086100355555,0.839040596702619,0.996174531738922,0.985802643891659,0.998019702528695,0.972787575253516,0.999951602691707,0.778550878777579,0.933606340606066,0.973274310976893,0.866037621210668,0.978390493395083,0.987662901127311,0,0.980860849608982,1.0,0.860774741556883,0.956284797764803
STT,0.894757619951573,0.900871596270102,0.990382123054441,0.976515048000652,0.983269261716342,0.708281979194919,0.904073901911678,0.881075749287591,0.573077274625595,0.615801663918925,0,0.431584313626751,0.964523980960052,0.840726142394408,0.894838964141902,0.278443741890354,0.902788665770152,0.787562435462385,0.844315959347265,0.568609827413311,0.777256539978081,0.00147692704793166,0.885809350735748,0.296563629482572,0.624870568588517,0.722499115834297,0,0,0.675359458834951,0.433561,0.630106623142913,0,0.88279436612599,0,0.871483391914407,0.785948654415823,0.95882180437544,0.973143121501044,0.674125103070487,0.903881679974711,0,0.659814326156687,0,0.682613470878256,0.712482107101614,0.900255933697746,0.24748428710846,0.650116218859004,0.966686034079231,0.95832506162804,0,0.997121018419282,0.814709029542037,0.389157996262067,0
TFvelo,0.949715572348167,0.960362523300882,0.943336555360134,0.964270758937183,0.892058537073676,0.954021666817762,0.956616065146202,0.961481150374251,0.95435591003476,0.967940590101881,0.951734899811602,0.89076071372315,0.959128798434224,0.851273913217806,0.938474639064042,0.873982617824481,0.90414792148591,0.944317096594695,0.926538759253278,0.948456819008343,0.958363623443662,0.976914838497959,0.972240815833533,0.809425477338363,0.96287892384516,0.931506634222274,0,0.945170062696609,0.938401290630249,0.838021,0.887566017190008,0,0.982045838659181,0.955139073550866,0,0.936638057419113,0.901234507062309,0.873524266059981,0,0.831314568173953,0.966698904491684,0.781769249599102,0.675292943608652,0.918054336297073,0.627157550008893,0.94274863966294,0.72347200177378,0.824164429682933,0.954695394631171,0.852652640732841,0.961572884157287,0.9680949449479,0.796165866963738,0.976788224967107,0.987382645937701
TopicVelo,0,0.943273808192327,0.846375576290021,0.000000000000000,0.553097884539754,0.843559972975933,0.868657576737967,0.338495167459408,0.0290572782858735,0.000776022432200906,0,0,0.705904255896805,0,0.96194724661055,0.126144901501956,0.164809483902976,0.711773540901405,0.103510649608462,0.16916625946411,0.137903426156337,0,0,0,0,0,0.797549741842164,0.797549741842164,0.972093586447343,0.113897,0.000139755660203622,0,0,0.0678734409256628,0.0497951084417487,0.0326238218932853,0,0.953798668055555,0.78595584326015,0.459691277827253,0.569325681552145,0.0552569672515469,0.443803756491576,0.0924505574085252,0.346199653166243,0.956341009584113,0.0790853761199764,0.523177120522798,0.608531467943069,0,0,0,0,0,0
UniTVelo,0.998058177792692,0.995587397764191,0.988647003451963,0.998788959484652,0.997282127150158,0.943487546979514,0.993975559615975,0.996017037403778,0.557706243132,0.993425576348439,0.620020189636073,0.757173133748284,0.914759092402201,0.459713234235327,0.678106178925824,0.411875418478629,0.982841980025015,0.681330320812148,0.997251876616924,0.991831302595439,0.992075493517914,0.993221843149852,0.976716778980973,0.993715873213131,0.976733639286608,0.996639434586125,0.994885971169537,0.996658611424358,0.970712936123934,0.982262,0.965107469895169,0,0.994642920496153,0.459855146830435,0.998873034161756,0.999522430481719,0.567170014572493,0.270017521495938,0.559925592042583,0.998795498587715,0.549267956058889,0.555259637963319,0.812399250320191,0.435263056578563,0.00271012771707801,0.985555238667415,0.275482656776969,0.446119968796067,0.720290257616319,0.610865069889201,0.771299885855398,0.997050111755974,0.994847861874811,0.794314503854201,0.913945355780818
VeloAE,0.999990585307746,0.989761171235144,0.994295613389992,1.000000000000000,0.999774543745514,0.998939803726734,0.999988074949783,0.99915195959825,0.99999003453531,0.999959675636407,0.999967396819675,0.999882744723262,0.999940228858635,0.999900134892568,0.999960807468109,0.999982817831649,0.999998949991568,0.999312268250021,0.999691737215107,0.999996949710652,0.999915085899821,0.999999622108296,0.998664881177941,0.999645105080573,0,0.999973992297343,0.999070088093758,0.999973575821373,0.999893651109588,0.999987,0.99982257026177,0,1.000000000000000,0.999703628378928,0.999946471711151,0.999777189657769,1.000000000000000,0.999953038371197,0.999917481266255,0.998253239762439,0.999991144911853,0.999973367546626,0,0.999993012293917,0.999924944143563,0.956341009584113,0.999939740579047,0.999534231744602,0.998978442540438,0.998625335682026,0.994938528320041,0.999233856094244,0,0.999958606986677,0
velocyto,0.990512211855397,0.97753464399233,0.95426156916221,0.991963497073468,0.994820573459757,0.51894943138162,0.382007587686171,0.797058629188353,0.992266141705237,0.99687391666716,0.996882579926146,0.494146062673158,0.989160831738014,0.42341228640154,0.467220832343082,0.517598594929619,0.944745817653863,0.354325799149401,0.200355800087823,0.436272742330789,0.973897666488496,0.80717264831992,0.969257339082291,0.925865075701102,0.93914581322744,0.970442686362532,0.873785340918413,0.961118822378668,0.892650489893601,0.936804,0.992428276577677,0,0.982655650341451,0.341249777258122,0.977803966553627,0.996069579870619,0.979235900029875,0.884814274714339,0.454645819014466,0.997804553599162,0.992705946945076,0.99439063316139,0.591654705515896,0.979992298543098,0.752720320222657,0.532057731437436,0.672773430296784,0.547598382444224,0.575876579526816,0.394178099717284,0.997546868274714,0.996568802989488,0.980212914237237,0.985354640298096,0.988608895502057
VeloVAE,0.939225224366079,0.988526756330578,0.930413031651422,0.748193420874195,0.733614424630192,0.966915020378272,0.851198207990593,0.970771091295757,0.674117806002728,0.666006246707138,0.989608802961822,0.942349855852013,0.999112891040602,0.633392564241119,0.863646017562018,0.41401208446869,0.966249433285765,0.887982918162733,0.922229975020699,0.973584895643912,0.661750855264391,0.774089497532955,0.934073958474072,0.309018786736861,0.720092758167288,0.603707448056298,0.950911095688169,0.969576613968681,0.922670270873377,0.945593,0.784510967373468,0.816324,0.967498110290815,0.780443582454042,0.945722698628035,0.647953829936325,0.854318877743526,0.691289449500112,0.817554998915899,0.741282195278601,0.995373103962012,0.641220116461227,0.947190299291289,0.698613254634966,0.873188357473899,0.783574336185009,0.968744758623873,0.683567719287371,0.983624626536502,0.521672977174012,0.762724694023952,0.76916798367422,0.893776312163837,0.985354501506611,0.561992608273415
