Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
TopicVelo,0,-0.6901716389653036,0,0,0.22827514333298368,0.5874132655927108,0.25294581840110486,-0.3052012067587619,0,-0.021511522643611808,0,0,-0.08666973234758019,0,0.8218387466723392,0.04021560158192946,0.1950443391054595,0,0,0,0,0.05547178916006818,0,0,0,0,-0.12950978916128153,-0.316929659711372,-0.2830795287178437,-0.03298457868761089,0,0,0,-0.09041186234426195,0.062095278078965886,0,0,0.4832996024497079,0.6564135172596222,-0.14882432787715405,-0.1505046192293544,0,0.044825418923175805,0.12466746347747687,-0.0699370060851915,-0.5695038105812019,0.012852542500212933,-0.08221670352407909,0.16275562255158044,0,0,0,0,0,0
UniTVelo,0,-0.041909472654123155,0,0,-0.42497163288886464,-0.8293878653995889,0.10559462540987302,0.3287412222552618,0,0.29930961367867637,0,0.1370169097806527,-0.5005647972611252,-0.04983526399557536,0.7542018507123401,0,0.04885849271725459,0,0,0,0,0.24599447653737233,0.2567586883858296,0.11871105053250416,0.03579358204687094,-0.05094249024480899,0.2186831631179843,0.5352326543937276,0.4237988873430632,0.0037465070521693214,0.4032438018044061,0,0,0.27469121104376515,-0.04951116932612779,0.17197340035198103,0.08786089318433546,-0.04937000645280904,0.3950433453688165,0.26915867906467733,-0.3376057970013242,-0.03355526660729394,0.09121625597487695,-0.2537527103789617,0.23947818057265516,0.5638831979113751,-0.04610981617546331,-0.003544087177817395,0,0.26912092763918954,0.22019893869982943,-0.4051921331939924,-0.7045823398069395,-0.42419435121310384,-0.07469673288444113
VeloAE,-0.4517544160465027,-0.26238493049821027,0,0,0.09325815341959966,-0.4048186672852929,0.08944848788865783,0.46243117553077856,-0.08104652019440213,-0.28116467258002403,-0.8449901422081898,0.09184882586400928,0.4237917681408108,-0.07347163747438175,0.7797738874317632,0,0.30338195440662324,0,0,0,0,0.06683072341202392,0.07469932885081497,0.02848656944258882,0,0.43641682733868253,0,0,0,0,-0.31056247658530567,0,-0.24269670046287997,0,0.19736046416031394,0,-0.4371777875396966,0.6880054132042683,0.43892131143695146,0,0.8473956893167823,-0.13334868568457323,0,-0.009697460076425052,-0.10798467595235335,0.4875063173838948,0.2390028837512311,0.5727469912724851,0.2540739667061357,0.31894316307403575,-0.17554785904003323,0.011672262485347865,0,-0.6556929927583495,0
VeloVAE,-0.5146822498591316,-0.5027537778186241,0,0,-0.04453222186197264,0.45306744330709575,0.2549533004520545,-0.12375467272235695,0,-0.29204210559866833,0.093397944474802,0,-0.43598428754814067,-0.1473433684783244,0.6840929876808102,0.16223941689735608,0.2872576912322261,0,0,0,0,-0.0118505587967033,0.355088754914859,-0.17593624165879185,-0.24943630358228533,-0.1594017229338566,-0.20650844396817622,-0.06177159777234806,-0.10867038203088665,0.03339516665557583,-0.001570258519407997,0,0,0.26634804277163493,0.12233774884361096,-0.04742503064213123,0.22300139659909435,0.491181576877766,0.0419711940572996,-0.23285628366297878,-0.5083852104288593,0.06174621658186007,0.14092473713232603,-0.48872785335732155,0.20158475720009403,-0.7362473715336596,-0.27675747731640493,-0.0816548448339762,0.33857714179517856,-0.20859095371621347,0.17331101256264966,-0.059248709900385464,-0.06073148439096303,-0.671821967071681,-0.26341935737811983
cell2fate,0,-0.07518959041897032,0,0,0.20248119078791696,0.19029278053334564,0.2530048623206313,-0.003228161265979662,0,0,0,0,0,-0.1370654614525162,0,0.1691606153077087,0.2415893468065041,0,0,0,0,0.05287951269476048,0.3505761360990582,-0.10040959983537387,-0.02627690130355591,-0.2590595608794207,-0.20516413480108872,-0.10362035368861952,0.006733166749767811,0,-0.07398518228961884,0,0.995013336548172,0.017624953264639778,0,0,0,0.4735062731738878,0.10263507254877327,0,-0.4576857177104953,0,0,-0.08807116463895216,0,0,0.023086096154814044,-0.11306237253901175,0.31790113297136585,-0.3271048319775563,0,0,-0.8859304994565605,-0.6503760557201442,0
cellDancer,-0.017536887679787765,-0.31407988729072456,0,0,-0.5175604599218632,0.060225108197068805,0.10601022183027686,-0.008000229750888743,0,-0.0228302527878491,-0.13256026498220372,-0.006380325909690137,0,-0.1451129391707738,0.08161616209697714,0,0.031759193301554155,0,0,0,0,-0.029061826476495602,-0.1026337621207055,0.08335140411079728,-0.1163311443411414,0.002974491808870406,0.004139312404559929,-0.02621454305383791,-0.003799934812291244,0.02778724566803551,-0.07769225719820219,0,0.2310058832952103,-0.15329274991520248,0.021281052954188938,-0.0027106316778238468,0.12103524092125066,-0.10679874391899645,-0.0087440164438664,0.16766760152449273,0.03325019687562238,0.1365958774307464,0.12185546281891825,-0.10173822106335156,0.057007049846441164,-0.20607676735280603,-0.03921453717451533,0.06717680102510905,0,-0.2656411143542875,0.05888982495573377,0.37169809842611995,0.39525483173507137,0.3535521286784312,0.36118678619785716
k-velo,0,0.0898146888741555,0,0,-0.02193936581711883,-0.27845270003961675,0.03573782842056362,0.3011676333616034,0,-0.20200096115415167,0,0.07532312443921385,-0.0038675842017803315,-0.35099987423638435,0.8190047236409919,-0.11447839795654736,0.2041734225787163,0,0,0,0,-0.35892589116299795,0.27017290469995514,-0.029956895848734594,-0.13621189864085803,-0.030992018173268025,-0.11171552577635982,0.1580643309170721,0.24647592851503072,-0.08862473180334358,-0.10511802715919459,0,-0.9397417219378436,0.05816333997810622,-0.05372708173903856,-0.04030940896253017,-0.06036793266489354,0.1477702439138746,0.3465372903627859,0,-0.12493966454045555,0,0.027941932943277882,-0.2844886017984652,0,0,0.12904520468249084,-0.08875318293831902,0.16275419204821556,-0.3976799908590992,0.23898471315018927,0.2934286756464104,0,0.486286501637249,0
scRNAkinetics,-0.5083462224911661,-0.5631301580891498,0,0,-0.01764706123276706,-0.10473334578013936,0.26559206337330954,-0.11161525982835409,0,-0.274663590334563,0.08282559247982386,0,-0.15480104611620293,-0.06199186478691368,0.5697829459763141,0,0.3796987132767751,0,0,0,0,0.01885970416664307,0.45844398910495104,-0.07138858192372252,-0.2516309357804094,-0.5636837969797559,-0.24679714721639426,-0.24308258372614494,0.09980889994211112,0.03885471336051824,-0.010252088149206163,0,0,0,0.10987124642530136,0,-0.09883545012974604,0.5271817278852111,0.29795985334020453,0.07368782270701356,0.0014051727040863384,0.13634171947544865,0,-0.4709578312176668,0.13792830755080124,-0.7536505793876512,-0.2680112831209761,0.012415360122042904,0,-0.15161786279144132,0,0.007093219265520761,0,-0.6951711831619772,0
scVelo dynamical,0,-0.7614682293143107,0,0,-0.05425940390153277,0.6741923945535955,0.05434582626828466,0.2575259825761685,0,-0.07480770504680916,0.15234172045365693,0,-0.37232871735576445,-0.24680857563196218,0.7542893508172898,-0.02030810496583784,0.04422717977410359,0,0,0,0,-0.12969017954551068,0.2746325107112849,0.06528250615297773,-0.19540893417342015,0.2960857251283052,0,0,-0.12282307590308358,0.031887865118258855,0.08399270320871302,0,0,0,0.2283311880764902,-0.2257771131350306,0.047278033096059366,0.11034292207751911,0.1227074771456935,-0.2926371026515856,-0.10663327944853639,0.059457554666839385,-0.13030015275724496,-0.40682307872799045,0.1034451150536478,0,-0.15335379355636863,-0.003445701206665066,0,0.15473456638966684,0.2085625329903866,0.35862169767240154,0.048188003943956365,0.13038560602460694,0
scVelo stochastic,0,-0.5857050974322848,0,0,0.18930135730222789,0.4643432554754836,0.23509586505242588,-0.16030023644428132,0,-0.34273941669933106,0,0.055386947778562894,-0.4738811253527539,-0.1253776049560066,0.7905285549377588,0.1877636877377855,0.26755209562230564,0,0,0,0,0.0005526959018049474,0.3128961459836607,-0.1065388372165766,-0.26499260938777364,-0.13698339769883894,0,0,-0.11834711277237885,0.03154861999448814,0.019682252687454535,0.14709043967950866,0,0.18496847915641676,0.03947260931749994,-0.12428540490546476,0.23618559562185346,0.45282678567359086,0.6983868978646868,-0.2423082779116948,0.2011748487108482,0.025684370815605914,0.33644123646980856,-0.5081983598959868,0.18380148101736432,-0.7248755643307926,-0.295729002972954,0.017825592119325794,0,-0.08704483842692821,0.26270340658016683,0.03213899951424341,0.1185329662385367,-0.6016156675451185,-0.39235842703752877
veloVI,0,0.23620110990287094,0,0,0.03244043772417443,0.6455296591274353,0.2896802002867876,0.43862473862196494,0,-0.3826015994834198,0,0.13572466898529703,-0.42128590321816173,0.04374963904139269,0.6959379276260813,0.41912080869294543,0.45803521846500556,0,0,0,0,0.1013851325589414,0.3557609692403239,0.04872751396413529,0.0014957300405998377,-0.12515206223162995,0,0,0.2812190366986367,0.11343276175893009,-0.17603839594728554,0.06429736532599163,0,0.444615475233714,0.2898425912001818,0.09866017800100074,0.04741264773656315,0.11780965050205071,0.5895803535205301,0.240892699130983,-0.2455629070089503,0.17198073593899169,-0.08986278076780704,0.5080872207255303,-0.39206135778646906,-0.09306979311510441,-0.18910187027630188,0.25438132096605165,0,-0.05339264776268699,0.35345735371252174,0.2112132854296144,0.34897073677638235,-0.6196313280021599,0.03704437591232594
velocyto,-0.40676879528158966,0.5698429672723117,0,0,-0.0076550857652014385,0.18052291802827428,-0.044037711327924306,0.2534160400214782,0,-0.2102030536571633,0,0.013235270034158923,-0.5105206529552295,-0.3024430768166214,0.20492376488567732,0.07625944201305727,0.442036624547096,0,0,0,0,0.006221932913248853,-0.47254900999419786,-0.09707558113983206,-0.18735240216401017,-0.18832148517993388,0,-0.12117471589789003,0.0207709873915876,-0.008053222085700817,0.24254796796797323,0,0,0.06757491505702111,0.11864106838290418,0.019820036779612357,0.15960270001298668,0.02301893874840114,0.17078449403057244,-0.06665392233529023,-0.42756390028269525,0.09005158572630605,0.31073543850987156,-0.4216289905857216,0.21176128690029697,-0.7648879737904821,-0.03812403547197559,-0.008796762421976311,0,-0.5922183113687213,0,0.5006339385188862,-0.29373421358818746,0.48591934682709353,0.038641587961610574
